FK_ID_FORMULARIO	ID_VIVIENDA	CIUDAD	P70	P4000	P4020	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	CLASE	DOMINIO	FEX_C
181	1	QUIBDO	1	1	4	1	2	2	2	1	2	1	1	1	15.873993911
182	1	QUIBDO	1	1	2	1	1	2	1	1	3	1	1	1	62.354397124
183	1	QUIBDO	1	1	4	1	1	2	2	1	3	2	1	1	15.873993911
184	1	QUIBDO	1	2	4	1	1	1	1	1	3	2	1	1	32.718358468
185	1	QUIBDO	1	1	4	1	1	2	2	2		2	1	1	15.873993911
186	1	QUIBDO	1	1	2	2		2	2	1	2	2	1	1	15.873993911
187	1	MEDELLIN	1	2	2	1	2	1	1	1	2	1	1	1	397.88486405
188	1	MEDELLIN	1	2	2	1	2	1	1	1	2	1	1	1	466.72068584
190	1	MEDELLIN	1	2	2	1	2	2	1	1	2	1	1	1	475.60445918
191	1	MEDELLIN	1	1	2	1	3	1	1	1	2	1	1	1	459.38759456
193	1	MEDELLIN	1	2	2	1	2	2	1	1	2	1	1	1	560.04959622
194	1	MEDELLIN	1	2	4	1	3	1	1	1	3	1	1	1	440.81579387
195	1	MEDELLIN	1	2	2	1	5	1	1	1	2	1	1	1	494.04063578
196	1	BARRANQUILLA	1	2	2	1	3	1	1	1	3	1	1	1	165.83879884
197	1	BARRANQUILLA	1	1	2	1	4	1	1	1	6	1	1	1	160.50321222
198	1	BARRANQUILLA	1	1	2	1	4	1	1	1	3	1	1	1	181.4850415
199	1	YOPAL	1	1	2	1	2	1	1	1	3	1	1	1	38.617667815
200	1	YOPAL	1	2	2	1	4	1	1	1	3	1	1	1	54.701068553
203	1	MOCOA	1	3	4	1	1	2	1	1	2	1	1	1	13.004420774
205	1	MOCOA	1	1	2	1	2	1	1	1	2	1	1	1	15.776616733
206	1	MOCOA	1	2	2	1	2	2	1	1	2	1	1	1	22.909023154
209	1	SAN JOSE DEL GUAVIARE	1	2	2	1	1	2	1	1	2	1	1	1	79.925964415
210	1	SAN JOSE DEL GUAVIARE	1	2	2	1	2	1	1	1	2	1	1	1	10.948762249
211	1	SAN JOSE DEL GUAVIARE	1	2	4	1	1	1	1	1	2	1	1	1	10.948762249
212	1	SAN JOSE DEL GUAVIARE	1	1	2	1	2	2	1	1	2	1	1	1	10.948762249
213	1	SAN JOSE DEL GUAVIARE	1	1	2	1	3	1	1	1	2	2	1	1	10.948762249
214	1	SAN JOSE DEL GUAVIARE	1	1	2	1	2	1	1	1	2	1	1	1	10.948762249
215	1	SAN JOSE DEL GUAVIARE	1	1	2	1	2	2	1	1	2	2	1	1	10.948762249
216	1	SAN JOSE DEL GUAVIARE	1	2	4	1	2	2	1	1	6	1	1	1	10.948762249
217	1	SAN JOSE DEL GUAVIARE	1	2	1	1	1	1	1	1	2	1	1	1	10.948762249
218	1	SAN JOSE DEL GUAVIARE	1	1	2	1	2	1	1	1	2	1	1	1	10.948762249
219	1	SAN JOSE DEL GUAVIARE	1	2	4	1	2	2	1	1	2	1	1	1	10.948762249
220	1	SAN JOSE DEL GUAVIARE	1	1	2	1	1	1	1	1	2	2	1	1	10.948762249
221	1	SAN JOSE DEL GUAVIARE	1	2	2	1	2	1	1	1	2	1	1	1	10.948762249
222	1	SAN JOSE DEL GUAVIARE	1	1	1	1	1	2	2	1	2	1	1	1	10.948762249
224	1	PUERTO CARREÑO	1	1	2	1	1	2	1	1	2	1	1	1	3.5189862689
225	1	PUERTO CARREÑO	1	1	4	1	1	2	2	1	2	1	1	1	6.9820319872
226	1	PUERTO CARREÑO	1	1	2	1	2	2	2	1	2	1	1	1	3.5189862689
227	1	CUCUTA	1	1	2	1	4	1	1	1	2	1	1	1	276.96372203
228	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	227.87499936
229	1	CUCUTA	1	1	2	1	1	1	1	1	2	1	1	1	224.05406261
230	1	CUCUTA	1	1	2	1	1	1	1	1	2	1	1	1	164.8376263
231	1	CUCUTA	1	1	2	1	3	2	1	1	3	1	1	1	250.34305984
232	1	CUCUTA	1	1	2	1	2	2	1	1	3	1	1	1	282.17770777
233	1	CUCUTA	1	1	6	1	1	1	1	1	3	1	1	1	190.09118287
234	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	252.66420982
235	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	193.91211962
236	1	CUCUTA	1	1	2	1	1	1	1	1	3	1	1	1	246.23163278
237	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	223.19170564
238	1	CUCUTA	1	1	4	1	2	1	1	1	2	1	1	1	362.23872139
239	1	CUCUTA	1	2	2	1	2	1	1	1	3	1	1	1	258.84729032
240	1	CUCUTA	1	2	4	1	2	2	1	1	3	1	1	1	196.04035144
241	1	CUCUTA	1	2	2	1	2	1	1	1	3	1	1	1	223.19170564
242	1	CUCUTA	1	1	2	1	3	1	1	1	2	1	1	1	224.80827664
244	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	317.35917881
245	1	CUCUTA	1	1	2	1	1	2	1	1	3	1	1	1	199.26488332
246	1	CUCUTA	1	1	2	1	3	1	1	1	2	1	1	1	266.57146144
248	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	239.42010724
249	1	CUCUTA	1	1	2	1	3	1	1	1	3	1	1	1	221.69191886
250	1	CUCUTA	1	2	2	1	4	2	1	1	7	1	1	1	250.21034753
251	1	CUCUTA	1	1	2	1	3	1	1	1	3	1	1	1	221.69191886
252	1	CUCUTA	1	1	2	1	2	2	1	1	2	1	1	1	236.19560651
253	1	CUCUTA	1	1	2	1	3	1	1	1	3	1	1	1	292.97724289
254	1	CUCUTA	1	1	2	1	3	2	1	1	3	1	1	1	252.66420982
255	1	CUCUTA	1	1	2	1	2	1	1	1	2	1	1	1	233.4772596
256	1	CUCUTA	1	1	2	1	3	1	1	1	3	1	1	1	212.26875304
257	1	CUCUTA	1	1	2	1	2	1	1	1	3	1	1	1	221.69191886
258	1	CUCUTA	1	1	2	1	3	1	1	1	3	1	1	1	248.84327306
262	1	CUCUTA	1	1	2	1	1	1	1	1	3	1	1	1	279.81556402
263	1	CUCUTA	1	2	2	1	3	1	1	1	3	1	1	1	267.16789747
266	1	CARTAGENA	1	1	2	1	4	1	1	1	3	1	1	1	203.45902438
270	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	87.771449989
271	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	70.174091644
272	1	TUNJA	1	1	1	1	2	1	1	1	2	1	1	1	96.322909552
273	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	65.348497957
274	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	70.174091644
275	1	TUNJA	1	2	2	1	3	2	1	1	3	1	1	1	99.739719457
276	1	TUNJA	1	2	2	1	2	1	1	1	3	1	1	1	87.771449989
277	1	TUNJA	1	2	2	1	2	1	1	1	3	1	1	1	74.852313769
278	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	72.118018027
279	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	70.174091644
280	1	TUNJA	1	1	2	1	3	1	1	1	3	1	1	1	63.110137987
282	1	NEIVA	1	1	2	1	1	1	1	1	3	1	1	1	84.30578754
284	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	92.251739656
286	1	NEIVA	1	1	2	1	2	1	1	1	3	1	1	1	66.921051434
287	1	NEIVA	1	1	2	1	1	1	1	1	3	1	1	1	74.456752629
288	1	NEIVA	1	3	2	1	2	1	1	1	3	1	1	1	99.524800012
